sex;age;;;;;;;;;t5;t3;t4;t2;;;t6;;;a1;;;;;;;;;;k2;k1;;;k4;k3;;;i1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;l2;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;;v1;;;;;;;h5;h6;y2;h2;h1;h3;h4;years
2;3;4;3;3;4;4;4;5;3;4;4;3;3;3;3;3;2;3;3;4;4;5;6;5;4;3;3;2;3;3;4;3;3;3;3;4;4;1;4;4;4;1;3;4;4;4;4;4;1;3;5;5;2;5;4;4;4;5;5;4;4;4;5;5;4;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;3;3;4;3;4;4;4;4
1;4;4;4;4;4;4;4;4;4;4;4;2;3;2;3;1;1;4;3;4;4;4;3;4;4;4;4;3;3;2;5;2;3;2;3;4;4;1;4;4;4;1;4;4;4;4;4;4;1;4;4;3;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;;;;;;4;4;4;4;4;4;4;1;1;1;3;1;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;4;2
1;4;5;4;5;5;5;5;4;4;5;5;5;5;5;5;4;4;5;5;4;4;5;5;4;5;5;5;4;4;4;4;5;4;4;4;5;5;1;4;5;5;1;5;5;4;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;6;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;1;2;;;;;;;5;5;5;5;5;5;5;1
1;3;4;5;3;5;5;5;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;4;5;3;3;4;5;5;4;4;5;4;4;4;4;5;1;4;4;4;3;;;;;;;4;;;;;;4;4;5;5;5;5;5;4;4;5;4;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;3;4;4;4;4;1
2;3;5;5;4;5;5;5;5;3;5;4;4;4;4;3;4;4;5;3;4;4;4;4;4;3;4;4;4;5;5;5;3;3;3;2;4;4;2;4;4;4;1;5;5;5;5;5;5;1;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;4;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;1;;;3;;;2;5;5;6;4;3;4;3;3
1;4;5;5;5;5;5;5;5;3;5;5;4;5;4;5;4;4;5;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;5;4;4;5;1;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;1
1;2;5;4;5;4;5;5;4;4;4;5;4;4;5;4;3;3;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;1;5;5;5;1;4;4;5;5;5;4;1;5;5;5;5;5;5;5;4;5;5;5;4;4;4;4;5;4;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;6;5;5;5;5;2
1;5;4;3;2;1;1;2;5;2;4;4;3;2;2;3;1;1;3;3;3;3;4;3;3;4;4;3;1;4;1;5;1;2;1;5;4;5;1;5;2;2;1;1;1;1;1;1;1;1;3;4;1;1;1;5;5;2;1;2;2;2;2;2;2;1;1;2;;;;;;4;4;5;5;5;3;5;3;2;1;2;1;1;1;;;;;2;2;2;;;;;;;4;3;3;2;2;2;2;4
1;6;5;5;5;5;5;5;5;4;5;5;5;5;4;4;5;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;4;5;5;5;5;5;1;5;5;4;1;5;5;4;5;5;5;1;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;2
1;4;5;5;4;4;4;4;5;4;5;5;4;4;4;4;3;3;2;3;5;5;5;3;5;5;5;5;4;5;3;3;5;5;6;3;3;4;1;5;3;4;1;4;4;4;4;4;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;;;;;;5;5;5;6;5;6;6;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;5;5;5;4;4;4
